Date,Footfall
1/4/2009,29518
1/4/2009,18659
2/4/2009,25501
2/4/2009,26938
3/4/2009,32751
3/4/2009,21882
4/4/2009,47456
4/4/2009,37675
5/4/2009,28747
5/4/2009,21134
30/03/2009,26756
30/03/2009,17112
31/03/2009,27857
31/03/2009,19867
6/4/2009,33789
6/4/2009,23759
7/4/2009,32241
7/4/2009,33129
8/4/2009,34280
8/4/2009,23437
9/4/2009,35889
9/4/2009,25670
10/4/2009,39430
10/4/2009,26816
11/4/2009,52092
11/4/2009,43865
12/4/2009,24359
12/4/2009,18211
13/04/2009,36999
13/04/2009,25482
14/04/2009,38368
14/04/2009,26034
15/04/2009,37677
15/04/2009,25866
16/04/2009,36084
16/04/2009,24749
17/04/2009,38959
17/04/2009,34804
18/04/2009,44192
18/04/2009,36603
19/04/2009,21155
19/04/2009,18593
20/04/2009,25168
20/04/2009,27434
21/04/2009,25160
21/04/2009,24425
22/04/2009,24110
22/04/2009,26844
23/04/2009,26065
23/04/2009,22973
24/04/2009,31232
24/04/2009,29118
25/04/2009,49250
25/04/2009,42632
26/04/2009,27419
26/04/2009,20071
1/5/2009,34638
1/5/2009,27554
2/5/2009,53777
2/5/2009,49192
3/5/2009,36718
3/5/2009,28124
27/04/2009,22073
27/04/2009,14041
28/04/2009,23581
28/04/2009,16783
29/04/2009,28681
29/04/2009,24088
30/04/2009,27323
30/04/2009,18547
4/5/2009,34311
4/5/2009,20637
5/5/2009,25722
5/5/2009,17417
6/5/2009,27714
6/5/2009,23599
7/5/2009,26108
7/5/2009,20089
8/5/2009,27529
8/5/2009,28381
9/5/2009,48448
9/5/2009,35621
10/5/2009,26934
10/5/2009,13552
11/5/2009,24555
11/5/2009,25826
12/5/2009,27167
12/5/2009,23603
13/05/2009,27454
13/05/2009,21064
14/05/2009,26510
14/05/2009,17393
15/05/2009,27832
15/05/2009,19342
16/05/2009,48136
16/05/2009,34721
17/05/2009,25358
17/05/2009,13496
18/05/2009,25767
18/05/2009,20470
19/05/2009,24367
19/05/2009,18025
20/05/2009,28590
20/05/2009,22785
21/05/2009,27013
21/05/2009,24009
22/05/2009,33645
22/05/2009,24610
23/05/2009,52131
23/05/2009,34652
24/05/2009,33510
24/05/2009,33833
25/05/2009,34679
25/05/2009,25760
26/05/2009,35263
26/05/2009,34685
27/05/2009,36122
27/05/2009,21603
28/05/2009,34446
28/05/2009,31831
29/05/2009,41454
29/05/2009,36617
30/05/2009,40790
30/05/2009,43826
31/05/2009,25144
31/05/2009,21315
1/6/2009,25566
1/6/2009,32365
2/6/2009,25110
2/6/2009,24365
3/6/2009,29055
3/6/2009,25504
4/6/2009,27068
4/6/2009,18454
5/6/2009,30333
5/6/2009,24193
6/6/2009,49314
6/6/2009,37733
7/6/2009,27819
7/6/2009,22881
8/6/2009,27954
8/6/2009,26198
9/6/2009,27097
9/6/2009,19643
10/6/2009,28934
10/6/2009,21297
11/6/2009,28281
11/6/2009,31847
12/6/2009,34147
12/6/2009,38879
13/06/2009,49875
13/06/2009,52988
14/06/2009,28524
14/06/2009,25999
15/06/2009,25822
15/06/2009,19657
16/06/2009,28828
16/06/2009,21716
17/06/2009,27333
17/06/2009,14907
18/06/2009,30771
18/06/2009,19939
19/06/2009,36458
19/06/2009,25847
20/06/2009,53616
20/06/2009,30092
21/06/2009,29139
21/06/2009,18137
22/06/2009,29341
22/06/2009,21098
23/06/2009,30122
23/06/2009,20296
24/06/2009,29476
24/06/2009,20569
25/06/2009,30598
25/06/2009,26413
26/06/2009,34597
26/06/2009,23964
27/06/2009,53280
27/06/2009,44271
28/06/2009,30917
28/06/2009,16809
1/7/2009,32248
1/7/2009,20924
2/7/2009,29805
2/7/2009,25671
3/7/2009,32572
3/7/2009,18562
4/7/2009,54274
4/7/2009,37842
5/7/2009,29645
5/7/2009,16931
29/06/2009,29626
29/06/2009,21613
30/06/2009,32892
30/06/2009,21233
6/7/2009,28489
6/7/2009,21085
7/7/2009,30394
7/7/2009,21355
8/7/2009,34263
8/7/2009,22400
9/7/2009,31755
9/7/2009,25307
10/7/2009,36505
10/7/2009,25856
11/7/2009,49083
11/7/2009,39011
12/7/2009,31265
12/7/2009,17720
13/07/2009,31281
13/07/2009,23826
14/07/2009,31093
14/07/2009,23018
15/07/2009,32333
15/07/2009,23010
16/07/2009,35927
16/07/2009,25464
17/07/2009,30123
17/07/2009,18409
18/07/2009,54402
18/07/2009,36752
19/07/2009,28757
19/07/2009,16222
20/07/2009,35162
20/07/2009,27092
21/07/2009,35309
21/07/2009,21714
22/07/2009,37168
22/07/2009,25111
23/07/2009,34863
23/07/2009,28480
24/07/2009,39050
24/07/2009,21942
25/07/2009,48376
25/07/2009,39868
26/07/2009,30135
26/07/2009,14336
1/8/2009,48791
1/8/2009,36543
2/8/2009,35606
2/8/2009,16292
27/07/2009,32644
27/07/2009,29972
28/07/2009,37969
28/07/2009,23960
29/07/2009,35615
29/07/2009,24507
30/07/2009,34457
30/07/2009,25717
31/07/2009,40051
31/07/2009,35811
3/8/2009,36913
3/8/2009,29963
4/8/2009,37321
4/8/2009,24935
5/8/2009,37351
5/8/2009,26397
6/8/2009,36333
6/8/2009,30120
7/8/2009,38276
7/8/2009,29862
8/8/2009,48883
8/8/2009,46071
